overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_56	THE DELAWARES ARE CHILDREN OF THE TORTOISE AND THEY OUTSTRIP THE DEER
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_57	COME COME I CALLED WHEN NO ONE OBEYED A FIRE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_58	OR AN EYE OF GIFTS AND GRACES SHOWRING FRUITS AND COINED GOLD
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_59	WHAT WOULD BECOME OF YOUR GUN WERE I TO KIDNAP YOU
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_60	YET HERE ARE WE WITHIN A SHORT RANGE OF THE SCAROONS AND NOT A SIGN OF A TRAIL HAVE WE CROSSED
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_61	AGAIN HE SEARCHED HIS OWN THOUGHTS NOR INEFFECTUALLY AS BEFORE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_62	I DID NOT MEAN SAID CAPTAIN BATTLEAX TO TOUCH UPON PUBLIC SUBJECTS AT SUCH A MOMENT AS THIS
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_63	HE KEEPS THE THOU SHALT NOT COMMANDMENTS FIRST RATE HEN LORD DOES
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_64	THE GOVERNOR ON HIS PART BECOMING DOUBTFUL OF THE LEGALITY OF EMPLOYING MISSOURI MILITIA TO ENFORCE KANSAS LAWS WAS ALSO EAGER TO SECURE THE HELP OF FEDERAL TROOPS
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_65	THIS WAS A FORMIDABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_66	HE RECKONED THEREFORE NOT ONLY UPON ASCERTAINING THE EXTENT OF THE LATE CATASTROPHE BUT UPON LEARNING ITS CAUSE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_67	THE WHOLE PROCEEDING WAS SO CHILDISH THE MISERABLE PLOT SO TRANSPARENT THE OUTRAGE SO GROSS AS TO BRING DISGUST TO THE BETTER CLASS OF BORDER RUFFIANS WHO WERE WITNESSES AND ACCESSORIES
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_68	FLIGHT WAS OUT OF THE QUESTION NOW THE REPTILES ROSE THEY WHEELED AROUND OUR LITTLE RAFT WITH A RAPIDITY GREATER THAN THAT OF EXPRESS TRAINS
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_69	BUT THERE SEEMED NO REASON TO FEAR
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_70	IN A FEW DAYS AN OFFICER CAME WITH A REQUISITION FROM GOVERNOR SHANNON AND TOOK THE PRISONER BY LAND TO WESTPORT AND AFTERWARDS FROM THERE TO KANSAS CITY AND LEAVENWORTH
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_71	CAPTAIN MARTIN SAID I SHALL GIVE YOU A PISTOL TO HELP PROTECT YOURSELF IF WORSE COMES TO WORST
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_72	SERVADAC TOOK IT FOR GRANTED THAT THE DOBRYNA WAS ENDEAVORING TO PUT IN
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_73	BRAVELY AND GENEROUSLY HAS HE BATTLED IN MY BEHALF AND THIS AND MORE WILL I DARE IN HIS SERVICE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_74	FROM THESE AGAIN SPRANG BARRICADED AND FORTIFIED DWELLINGS CAMPS AND SCOUTING PARTIES FINALLY CULMINATING IN ROVING GUERRILLA BANDS HALF PARTISAN HALF PREDATORY
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_75	AND I DECLARE IT'S TOO BAD THAT IT IS
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_76	HE SUMMONED HALF A DOZEN CITIZENS TO JOIN HIS POSSE WHO FOLLOWED OBEYED AND ASSISTED HIM
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_77	TO THEIR SORROW THEY WERE SOON UNDECEIVED
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_78	FOUR OR FIVE OF THE LATTER ONLY LINGERED ABOUT THE DOOR OF THE PRISON OF UNCAS WARY BUT CLOSE OBSERVERS OF THE MANNER OF THEIR CAPTIVE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_79	HE CALLED THIS SEA A POND AND OUR LONG VOYAGE TAKING A LITTLE SAIL
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_80	THE LADIES IN COMPLIANCE WITH THAT SOFTNESS OF HEART WHICH IS THEIR CHARACTERISTIC ARE ON ONE SIDE AND THE MEN BY WHOM THE WORLD HAS TO BE MANAGED ARE ON THE OTHER
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_81	THE LEADERS OF THE CONSPIRACY BECAME DISTRUSTFUL OF THEIR POWER TO CRUSH THE TOWN
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_82	RUN BACK UNCAS AND BRING ME THE SIZE OF THE SINGER'S FOOT
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_83	MY LORD MISS MILNER'S TASTE IS NOT A DEPRAVED ONE IT IS BUT TOO REFINED
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_84	MISS WOODLEY WAS TOO LITTLE VERSED IN THE SUBJECT TO KNOW THIS WOULD HAVE BEEN NOT TO LOVE AT ALL AT LEAST NOT TO THE EXTENT OF BREAKING THROUGH ENGAGEMENTS AND ALL THE VARIOUS OBSTACLES THAT STILL MILITATED AGAINST THEIR UNION
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_85	BUT THE MORE FORGETFULNESS HAD THEN PREVAILED THE MORE POWERFUL WAS THE FORCE OF REMEMBRANCE WHEN SHE AWOKE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_86	HE IS BUT A BOY THE MEN SAID
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_87	QUITE SATISFIED SAID EVA
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_88	THERE'S A WHALE A WHALE CRIED THE PROFESSOR
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_89	IF YOU ARE NOT THEN KNOCKED ON THE HEAD YOUR BEING A NON COMPOSSER WILL PROTECT YOU AND YOU'LL THEN HAVE A GOOD REASON TO EXPECT TO DIE IN YOUR BED
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_90	RALPH THURSTON HAD FOUND A LINE OF LATIN FOR THEM IN HIS BELOVED HORACE TIBI SPLENDET FOCUS FOR YOU THE HEARTH FIRE SHINES
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_91	I WISH YOU GOOD NIGHT SHE LAID HER BONY HANDS ON THE BACK OF MISTER MEADOWCROFT'S INVALID CHAIR CUT HIM SHORT IN HIS FAREWELL SALUTATION TO ME AND WHEELED HIM OUT TO HIS BED AS IF SHE WERE WHEELING HIM OUT TO HIS GRAVE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_92	THE BOGUS LEGISLATURE NUMBERED THIRTY SIX MEMBERS
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_93	IT IS FOUNDED ON THE ACKNOWLEDGED WEAKNESS OF THOSE WHO SURVIVE THAT PERIOD OF LIFE AT WHICH MEN CEASE TO WORK
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_94	AND YET YOU MUST OWN HER BEHAVIOUR HAS WARRANTED THEM HAS IT NOT BEEN IN THIS PARTICULAR INCOHERENT AND UNACCOUNTABLE
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_95	ITS JAW IS ENORMOUS AND ACCORDING TO NATURALISTS IT IS ARMED WITH NO LESS THAN ONE HUNDRED AND EIGHTY TWO TEETH
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_96	HANS STIRS NOT
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_97	A MORE DREARY AND MORE DISUNITED FAMILY PARTY I NEVER SAT AT THE TABLE WITH
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_98	THERE IS NO FEAR OF THAT SIR
overlap_ratio_20.0_sil0.1_1.0_session3_actual20.0_utterance_99	HE SEEMED TO WAIT FOR HER REPLY BUT AS SHE MADE NONE HE PROCEEDED
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_0	WITHOUT HIS SCRAPBOOKS HIS CHEMICALS AND HIS HOMELY UNTIDINESS HE WAS AN UNCOMFORTABLE MAN
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_1	WE SOMETIMES HAVE IMAGES THAT ARE BY NO MEANS PECULIARLY VAGUE WHICH YET WE DO NOT TRUST FOR EXAMPLE UNDER THE INFLUENCE OF FATIGUE WE MAY SEE A FRIEND'S FACE VIVIDLY AND CLEARLY BUT HORRIBLY DISTORTED
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_2	THIS DIFFERENTIATION IS FURTHERED BY THE INHERITANCE OF WEALTH AND THE CONSEQUENT INHERITANCE OF GENTILITY
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_3	THAT CHRIST IS VERY GOD IS APPARENT IN THAT PAUL ASCRIBES TO HIM DIVINE POWERS EQUALLY WITH THE FATHER AS FOR INSTANCE THE POWER TO DISPENSE GRACE AND PEACE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_4	TO CELEBRATE THE ARRIVAL OF HER SON SILVIA GAVE A SPLENDID SUPPER TO WHICH SHE HAD INVITED ALL HER RELATIVES AND IT WAS A GOOD OPPORTUNITY FOR ME TO MAKE THEIR ACQUAINTANCE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_5	BY HIS RESURRECTION CHRIST WON THE VICTORY OVER LAW SIN FLESH WORLD DEVIL DEATH HELL AND EVERY EVIL
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_6	THE LIVERY BECOMES OBNOXIOUS TO NEARLY ALL WHO ARE REQUIRED TO WEAR IT
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_7	THE ARROW PIERCED HIS HEART AND WOUNDED HIM MORTALLY
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_8	HE COULD HARDLY STAND STILL SO GREAT WAS HIS MENTAL AGITATION AND HE RAN TOWARDS HOLMES WITH TWO EAGER HANDS OUTSTRETCHED THANK HEAVEN THAT YOU HAVE COME
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_9	THE MOST THEY COULD CLAIM IS THAT THEY WERE SENT BY OTHERS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_10	WE ARE TO HEAR CHRIST WHO HAS BEEN APPOINTED BY THE FATHER AS OUR DIVINE TEACHER
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_11	THIS ATTITUDE SPRINGS FROM A FALSE CONCEPTION OF SIN THE CONCEPTION THAT SIN IS A SMALL MATTER EASILY TAKEN CARE OF BY GOOD WORKS THAT WE MUST PRESENT OURSELVES UNTO GOD WITH A GOOD CONSCIENCE THAT WE MUST FEEL NO SIN BEFORE WE MAY FEEL THAT CHRIST WAS GIVEN FOR OUR SINS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_12	TO BESTOW PEACE AND GRACE LIES IN THE PROVINCE OF GOD WHO ALONE CAN CREATE THESE BLESSINGS THE ANGELS CANNOT
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_13	THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NOMADS ON THE MARCH VOYAGING HIGH OVER IRELAND WESTWARD BOUND
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_14	AFTER AN APPRENTICESHIP ON A MERCHANT SHIP HE HAD ENTERED THE IMPERIAL NAVY AND HAD ALREADY REACHED THE RANK OF LIEUTENANT WHEN THE COUNT APPOINTED HIM TO THE CHARGE OF HIS OWN PRIVATE YACHT IN WHICH HE WAS ACCUSTOMED TO SPEND BY FAR THE GREATER PART OF HIS TIME THROUGHOUT THE WINTER GENERALLY CRUISING IN THE MEDITERRANEAN WHILST IN THE SUMMER HE VISITED MORE NORTHERN WATERS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_15	AND WHAT SORT OF EVIDENCE IS LOGICALLY POSSIBLE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_16	YOU ARE POSITIVE THEN
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_17	YES THE CHARACTER WHICH YOUR ROYAL HIGHNESS ASSUMED IS IN PERFECT HARMONY WITH YOUR OWN
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_18	BEN ZOOF'S MOST AMBITIOUS DESIRE WAS TO INDUCE THE CAPTAIN TO GO WITH HIM AND END HIS DAYS IN HIS MUCH LOVED HOME AND SO INCESSANTLY WERE SERVADAC'S EARS BESIEGED WITH DESCRIPTIONS OF THE UNPARALLELED BEAUTIES AND ADVANTAGES OF THIS EIGHTEENTH ARRONDISSEMENT OF PARIS THAT HE COULD SCARCELY HEAR THE NAME OF MONTMARTRE WITHOUT A CONSCIOUS THRILL OF AVERSION
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_19	NO CATHEDRAL NOT EVEN BURGOS ITSELF COULD VIE WITH THE CHURCH AT MONTMARTRE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_20	IDLE AND EMBITTERING FINALLY TO ARGUE AGAINST HIS OWN DISPASSIONATE CERTITUDE THAT THE COMMANDMENT OF LOVE BADE US NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_21	IN A GENERAL WAY THOUGH NOT WHOLLY NOR CONSISTENTLY THESE TWO GROUPS COINCIDE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_22	IF THIS MATTER IS NOT TO BECOME PUBLIC WE MUST GIVE OURSELVES CERTAIN POWERS AND RESOLVE OURSELVES INTO A SMALL PRIVATE COURT MARTIAL
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_23	SO MANY OF THEM HOWEVER AS MAKE UP THE RETAINER AND HANGERS ON OF THE PATRON MAY BE CLASSED AS VICARIOUS CONSUMER WITHOUT QUALIFICATION
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_24	ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_25	IN ORDER TO PLEASE HER I SPOKE TO HER OF THE ABBE CONTI AND I HAD OCCASION TO QUOTE TWO LINES OF THAT PROFOUND WRITER
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_26	ARE YOU CERTAIN THAT THIS IS THE MEDITERRANEAN
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_27	THERE IS NO FEAR OF THAT SIR
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_28	PAUL TAKES PRIDE IN HIS MINISTRY NOT TO HIS OWN PRAISE BUT TO THE PRAISE OF GOD
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_29	DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_30	I HAD TO READ IT OVER CAREFULLY AS THE TEXT MUST BE ABSOLUTELY CORRECT
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_31	YOU MUST SEE LIEUTENANT I SHOULD THINK THAT WE ARE NOT SO NEAR THE COAST OF ALGERIA AS YOU IMAGINED
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_32	THE QUESTION IS WHICH OF THE TWO METHODS WILL MOST EFFECTIVELY REACH THE PERSONS WHOSE CONVICTIONS IT IS DESIRED TO AFFECT
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_33	THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_34	THE BOND OF UNION THUS EFFECTED COULD NEVER BE SEVERED AND ALTHOUGH BEN ZOOF'S ACHIEVEMENTS HAD FAIRLY EARNED HIM THE RIGHT OF RETIREMENT HE FIRMLY DECLINED ALL HONORS OR ANY PENSION THAT MIGHT PART HIM FROM HIS SUPERIOR OFFICER
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_35	A BROKEN TIP OF LEAD WAS LYING THERE ALSO
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_36	IT IS NECESSARY THEREFORE THAT HE SHOULD COMPLY THE KING FROWNED
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_37	IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_38	WHEN I WAS A YOUNG MAN I THOUGHT PAUL WAS MAKING TOO MUCH OF HIS CALL
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_39	WELL SAID MADEMOISELLE DE TONNAY CHARENTE I ALSO THINK A GOOD DEAL BUT I TAKE CARE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_40	WHEN THE MUSIC BY ITS BURSTS OF MELODY CARRIED AWAY THESE ILLUSTRIOUS DANCERS WHEN THE SIMPLE UNTUTORED PANTOMIME OF THAT PERIOD ONLY THE MORE NATURAL ON ACCOUNT OF THE VERY INDIFFERENT ACTING OF THE AUGUST ACTORS HAD REACHED ITS CULMINATING POINT OF TRIUMPH THE THEATER SHOOK WITH TUMULTUOUS APPLAUSE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_41	THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_42	THEN TURNING TOWARDS ME HE SAYS THAT I LOOK LIKE A FOREIGNER AND WHEN I SAY THAT I AM AN ITALIAN HE BEGINS TO SPEAK TO ME OF THE COURT OF THE CITY OF THE THEATRES AND AT LAST HE OFFERS TO ACCOMPANY ME EVERYWHERE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_43	SO THOSE OFFICES WHICH ARE BY RIGHT THE PROPER EMPLOYMENT OF THE LEISURE CLASS ARE NOBLE SUCH AS GOVERNMENT FIGHTING HUNTING THE CARE OF ARMS AND ACCOUTREMENTS AND THE LIKE IN SHORT THOSE WHICH MAY BE CLASSED AS OSTENSIBLY PREDATORY EMPLOYMENTS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_44	IN FACT THE SOUND OF MADAME'S AND THE QUEEN'S CARRIAGES COULD BE HEARD IN THE DISTANCE UPON THE HARD DRY GROUND OF THE ROADS FOLLOWED BY THE MOUNTED CAVALIERS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_45	BUT I HAVE OCCASIONALLY DONE THE SAME THING AT OTHER TIMES
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_46	SIMPLY BY STOPPING HER CARRIAGE TWO OR THREE TIMES BEFORE THE SHOP TO HAVE HER SNUFF BOX FILLED AND BY SAYING ALOUD TO THE YOUNG GIRL WHO HANDED BACK THE BOX THAT HER SNUFF WAS THE VERY BEST IN PARIS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_47	WATSON I HAVE ALWAYS DONE YOU AN INJUSTICE THERE ARE OTHERS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_48	I NEVER HAD ANY FAMILY
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_49	THE LATE ASTOUNDING EVENTS HOWEVER HAD RENDERED PROCOPE MANIFESTLY UNEASY AND NOT THE LESS SO FROM HIS CONSCIOUSNESS THAT THE COUNT SECRETLY PARTOOK OF HIS OWN ANXIETY
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_50	HE CLASPED HIS HANDS ON THE DESK AND SAID
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_51	WHY WAS THE SACRAMENT OF THE EUCHARIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF JESUS CHRIST BE PRESENT BODY AND BLOOD SOUL AND DIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_52	HE CAME DOWN TO EARTH LIVED AMONG MEN SUFFERED WAS CRUCIFIED AND THEN HE DIED STANDING CLEARLY BEFORE US SO THAT OUR HEARTS AND EYES MAY FASTEN UPON HIM
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_53	WE ARE OF COURSE IN FACT ABLE TO JUDGE WHEN WE RECOGNIZE AN OBJECT THAT WE HAVE SEEN IT BEFORE BUT THIS JUDGMENT IS SOMETHING OVER AND ABOVE RECOGNITION IN THIS FIRST SENSE AND MAY VERY PROBABLY BE IMPOSSIBLE TO ANIMALS THAT NEVERTHELESS HAVE THE EXPERIENCE OF RECOGNITION IN THIS FIRST SENSE OF THE WORD
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_54	WHAT DO YOU MEAN INQUIRED LOUIS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_55	IT WAS STRANGE TOO THAT HE FOUND AN ARID PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCES ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_56	BUT IT IS ON OTHER GROUNDS WORTH NOTING THAT THE TERM WASTE IN THE LANGUAGE OF EVERYDAY LIFE IMPLIES DEPRECATION OF WHAT IS CHARACTERIZED AS WASTEFUL
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_57	STUFF IT INTO YOU HIS BELLY COUNSELLED HIM
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_58	MISTER SOAMES WAS SOMEWHAT OVERWHELMED BY THIS FLOOD OF INFORMATION
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_59	MY REMARK PLEASES HIM BUT I SOON PROVE TO HIM THAT IT IS NOT THE RIGHT WAY TO SPEAK HOWEVER PERFECT MAY HAVE BEEN THE LANGUAGE OF THAT ANCIENT WRITER
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_60	HE SET OFF ABRUPTLY FOR THE BULL WALKING RAPIDLY LEST HIS FATHER'S SHRILL WHISTLE MIGHT CALL HIM BACK AND IN A FEW MOMENTS HE HAD ROUNDED THE CURVE AT THE POLICE BARRACK AND WAS SAFE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_61	THROUGHOUT THE ENTIRE EVOLUTION OF CONSPICUOUS EXPENDITURE WHETHER OF GOODS OR OF SERVICES OR HUMAN LIFE RUNS THE OBVIOUS IMPLICATION THAT IN ORDER TO EFFECTUALLY MEND THE CONSUMER'S GOOD FAME IT MUST BE AN EXPENDITURE OF SUPERFLUITIES
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_62	A QUARTER OF AN HOUR AFTERWARDS HE RETURNED TO THE THEATER BUT IT WILL BE READILY BELIEVED THAT IT WAS ONLY A POWERFUL EFFORT OF REASON OVER HIS GREAT EXCITEMENT THAT ENABLED HIM TO GO BACK OR PERHAPS FOR LOVE IS THUS STRANGELY CONSTITUTED HE FOUND IT IMPOSSIBLE EVEN TO REMAIN MUCH LONGER SEPARATED FROM THE PRESENCE OF ONE WHO HAD BROKEN HIS HEART
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_63	LET HIM COME IN THEN SAID THE KING AND AS IF COLBERT HAD BEEN LISTENING AT THE DOOR FOR THE PURPOSE OF KEEPING HIMSELF AU COURANT WITH THE CONVERSATION HE ENTERED AS SOON AS THE KING HAD PRONOUNCED HIS NAME TO THE TWO COURTIERS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_64	IS IT BETTER THAN ANYWHERE ELSE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_65	IF A MAN HAD STOLEN A POUND IN HIS YOUTH AND HAD USED THAT POUND TO AMASS A HUGE FORTUNE HOW MUCH WAS HE OBLIGED TO GIVE BACK THE POUND HE HAD STOLEN ONLY OR THE POUND TOGETHER WITH THE COMPOUND INTEREST ACCRUING UPON IT OR ALL HIS HUGE FORTUNE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_66	I WAS HOPING THAT IF THE PAPER ON WHICH HE WROTE WAS THIN SOME TRACE OF IT MIGHT COME THROUGH UPON THIS POLISHED SURFACE NO I SEE NOTHING
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_67	IS THERE NOT A MERIDIAN EVERYWHERE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_68	THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_69	IF WE HAD RETAINED THE SUBJECT OR ACT IN KNOWLEDGE THE WHOLE PROBLEM OF MEMORY WOULD HAVE BEEN COMPARATIVELY SIMPLE
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_70	WE DON'T SPIN TOPS IS A FAVORITE SAYING AMONGST ARTILLERY OFFICERS INDICATING THAT THEY DO NOT SHIRK THEIR DUTY BY FRIVOLOUS PURSUITS BUT IT MUST BE CONFESSED THAT SERVADAC BEING NATURALLY IDLE WAS VERY MUCH GIVEN TO SPINNING TOPS
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_71	THE LORD WHO HAS GIVEN US POWER TO TEACH AND TO HEAR LET HIM ALSO GIVE US THE POWER TO SERVE AND TO DO LUKE TWO
overlap_ratio_20.0_sil0.1_1.0_session4_actual20.0_utterance_72	DRUNKENNESS AND THE OTHER PATHOLOGICAL CONSEQUENCES OF THE FREE USE OF STIMULANTS THEREFORE TEND IN THEIR TURN TO BECOME HONORIFIC AS BEING A MARK AT THE SECOND REMOVE OF THE SUPERIOR STATUS OF THOSE WHO ARE ABLE TO AFFORD THE INDULGENCE
